Symbol	Description
FYZW	Djia 35000mbecw230616
FZCW	Ocbc Bk Mb Epw231110
FZFW	Dbs Mb Ecw230724
G07	Great Eastern Hldgs Ltd
G0I	Nam Lee Pressed Metal Inds Ltd
G13	Genting Singapore Plc
G1N	Lyxor Etf Msci India 10
G20	Gp Industries Limited
G3B	Dbs Singapore Sti Etf
G41	G. K. Goh Holdings Limited
G50	Grand Banks Yachts Limited
G92	China Aviation Oil(s) Corp Ltd
GAUW	Hsi 17200mbepw230728
GEIW	Ocbc Bk Mb Ecw231117
GHCW	Netease 5xshortub250321
GIH	Lhn Logistics
GRE	Uob Ap Grn Reit Us$
GRN	Uob Ap Grn Reit S$
GRQ	Don Agro
GSD	Gld Sg$
GU5	China Kunda Tech Holdings Ltd
GUVW	Xiaomi 5xshortub250321
H02	Haw Par Corp Ltd
H07	Stamford Land Corporation Ltd
H12	Hotel Royal Ltd
H13	Ho Bee Investment Limited
H15	Hotel Properties Ltd
H18	Hotel Grand Central Ltd
H1N	Lyxor Etf Msci Emerging Mkt 10
H20	Hoe Leong Corporation Ltd.
H22	Hong Leong Asia Ltd.
H30	Hong Fok Corporation Ltd
H78	Hongkong Land Holdings Limited
HAOW	Hsi 5xshortub251031
HBWW	Sunny 5xlongub250127
HBYW	Netease 5xlongub250228
HCLW	Hscei3xlongma260327us$
HD9	Dbxt Ftse Vietnam Etf 10
HDTW	Galaxy 5xshortub250430
HHHW	Hsi3xlongma260327us$
HIEW	Sunny 5xlongub250930
HKB	Amtd Ib Ov
HKCW	Sands 5xlongub250930
HMN	Ascott Trust
HMSW	Kepcorpmbecw230628
HOHW	Hsi 7xshortub241231
HQLW	Meituan 5xshortub250127
HQU	Oiltek
HSKW	Comfortdel Mbecw240202
HSS	Lion-ocbc Sec Hstech Us$
HST	Lion-ocbc Sec Hstech S$
HZPW	Kepcorpmbecw231215
i06	Intraco Limited
i07	Isdn Holdings Limited
i11	Ipco Int'l Limited
i15	Isetan (singapore) Ltd
i49	Ifs Capital Limited
I98	Is Msci India 100
IBRW	Hsi 22600mbecw230530
IFAW	Jd 5xlongub250930
IFDW	Hsi 7xlongub250228
IHHW	Hsi3xshortma260327us$
IHSW	Hscei3xshortma260327us$
IOKW	Geely 5xshortub250430
IQQW	Nasdaq3xshortma260327us$
ISFW	Clife 5xshortub250430
ISPW	S&p3xshortma260327us$
ISTW	Hstech3xshortma260327us$
ITQW	Xiaomi 5xshortub250228
ITRW	Hkex 5xlongub250127
IW5	Seroja Investments Limited
IX2	Pec Ltd.
IZGW	Pacific Radiancew270919
IZTW	Tencentmbepw231004
J03	Jadason Enterprises Ltd
J17	Jackspeed Corporation Limited
J2T	Hock Lian Seng Holdings Ltd
J36	Jardine Matheson Hldgs Ltd
J69U	Frasers Centrepoint Trust
J85	Cdl Hospitality Trusts
J91U	Cambridge Industrial Trust
JHXW	Hsi 5xlongub251031
JK8	United Sse 50 China Etf
JLB	Grand Venture Technology Ltd
JMFW	Geely 5xlongub250228
JRTW	Ccb 5xlongub250430
JUIW	Citydev Mbecw240202
JUJW	Sia Mb Ecw230628
JWIW	Simsci 310mbecw230929
JYEU	Lendlease Reit
JZLW	Meituan Mb Epw231204
K03	Khong Guan Flour Milling Ltd
K29	Karin Technology Hldgs Limited
K3MD	Netease.com Adr 10
K3RD	Ctrip.com International Adr 10
K3SD	Baidu.com Adr 10
K6S	Prudential Plc
K71U	K-reit Asia
K75	Koh Brothers Group Limited
KBZW	Hsi 19000mbepw230728
KCIW	Gentingsmbecw230928
KGDW	Wuxibio 5xlongub250930
KGHW	Uob Mb Ecw231117
KGRW	Kuaisho 5xshortub250228
KHDW	Koh Brothers Eco Engg W230925
KJ5	Bbr Holdings (s) Ltd
KJ7	Dbxt Msci Indonesia Etf 10
KJZW	Vikingw270628
KLEW	Citydev Mbecw231005
KNXW	Hsi 7xlongub241231
KOPW	Wilmar Mb Ecw231215
KQVW	Nky 30000mbecw230609
KUH	Tsh Corporation Ltd
KUO	International Cement Groupltd.
KUPW	Meituan Mb Ecw230802
KUX	Dlf Holdings Limited
KV4	Dbxt Iboxx Singapore Etf 5
KYQW	Hsi 23400mbecw230728
L02	Manhattan Resources Limited
L03	Lian Beng Group Ltd
L09	Lung Kee (bermuda) Hldgs Ltd
L19	Lum Chang Holdings Limited
L23	Enviro-hub Holdings Ltd
L38	L.c.development Ltd
L5I	Abterra Ltd
LBPW	Byd 5xshortub250430
LCS	Csop Low Carbon S$
LCU	Csop Low Carbon Us$
LG9	Dbxt Msci China Trn Etf 10
LIW	Eagle Hospitality Trust
LJ3	Overseas Union Enterprise Ltd
LJOW	Comfortdel Mbecw230724
LJRW	Sembind Mbecw230724
LLJW	Hstech 4000mbecw230928
LMBW	Nasdaq 16000mbecw231215
LMKW	Hsi 7xshortub251031
LMS	Lms Compliance
LQDW	Hsi 19200mbepw230630
LQRW	Meituan 5xlongub241231
LS9	Leader Environmental Tech Ltd
LSHS	N519100a 240201
LSS	Phil Long Simsci2x S$
LSU	Phil Long Simsci2x Us$
LUY	Raffles Infrastructurehldgsltd
LXDW	Kuaisho 5xlongub250228
LYNW	Alibaba Mb Epw231004
LYY	Sinocloud Grp
M01	Metro Holdings Limited
M03	Miyoshi Precision Limited
M04	Mandarin Oriental Intl Ltd
M05	Mtq Corporation Limited
M11	Mfg Integration Technology Ltd
M14	Innotek Limited
M15	Matex International Limited
M1GU	Sabana Shari'ah Compliant Reit
M1Z	Tee International Limited
M44U	Mapletree Logistics Trust
M62	Cimb Ftse Asean40 100
MBH	Nikkoam Sgd Ig Corp Bond Etf
MCJW	Jd Mb Ecw230704
MCZW	Sands 5xshortub250127
ME8U	Mapletree Industrial Trust
MF6	Mun Siong Engineering Limited
MIJ	Alliance Healthcare Group Ltd
MJHW	Cmob 5xlongub250228
MLFW	Ocbc Bk Mb Epw230724
MMS	Phillip Mm S$
MMT	Phillip Mm Us$d
MOFB	Nc22300w 720801
MQJW	Uob Mb Epw231102
MQVW	Comfort 5xlongsg231115
MR7	Nordic Group Limited
MRNW	Uob Mb Ecw230720
MSKW	Djia 29000mbepw230616
MT1	Dragon Group Intl Limited
MUDW	Uob Mb Epw230530
MV4	Mewah International Inc.
MVKW	Galaxy 5xshortub250127
MXNU	Elitecomreit Gbp
MZH	Nanofilm
N01	Neratelecommunications Ltd
N02	Nsl Ltd.
N08	New Toyo Int Hldgs Ltd
N0Z	Combine Will Intl Hldgs Ltd
N2H	Hyflux 6% Cum Pref Class A 10
N2IU	Mapletree Commercial Trust
N32	Nippecraft Limited
N33	Nomura Holdings Inc
N4E	Nam Cheong Limited
N5YD	Mufj Financial Adr 10
N6DD	Mizuho Financial Adr 10
N6FD	Toyota Motor Adr 10
N6M	Ishares Usd Asia Bond Etf
NC2	Sri Trang Agro-industry Pcl
NCWW	Wuxibio 5xlongub250430
NCXW	Lifebrandz W240621
NEAW	Geely 5xshortub250127
NEX	Reclaims Global Limited
NGIW	Nky 27500mbepw231208
NHD	Jubilee
NIO	Nio Inc. Usd Ov
NIXW	Hsi 22200mbecw230630
NJXW	Xiaomi Mbecw231204
NLC	5e Resources
NLPW	Pingan 5xshortub250127
NMCW	Meituan 5xlongub250228
NO4	Dyna-mac Holdings Ltd.
NPW	Malaysia Smelting Corp Bhd
NR7	Raffles Education Corp Ltd
NS8U	Hutchison Port Holdings Trust
NTA	Novo Tellus Spac
NTSW	Novo Tellus Spac W291231
NUIW	Byd 5xlongub250430
NVYW	Sia Mb Ecw231215
NWDW	Jd 5xshortub250127
NXEW	Capinv 5xlongsg231115
NXR	Iwow Tech
O08	Ossia International Ltd
O10	Orchard Parade Holdings Ltd
O39	Oversea-chinese Banking Corp
O5RU	Aims Amp Cap Industrial Reit
O6Z	Lonza Group Ltd
O87	Spdr Gold Shares
O9A	Dbxt Msci Singapore Im Etf 10
O9E	Parkson Retail Asia Limited
O9P	Ishares Usd Asia Hy Bond Etf
OAJ	Fortress Minerals Limited
OBBW	Geely Mb Epw231004
OBQW	Hstech 3800mbepw230630
OCRW	Dbs Mb Epw231017
ODBU	Utdhampshreitusd
OFBW	Lining 5xshortub250430
OJQW	Nasdaq 11000mbepw231215
OL9S	Nz10100f 300901
OMK	Vividthree Holdings Ltd.
OMYW	Anta 5xshortub250430
OOPW	Hstech 5xshortub250430
OOSW	Tencent 5xlongub250228
OTS	Ots Holdings
OTX	Medinex Limited
OU8	Centurion Corporation Limited
OV8	Sheng Siong Group Ltd
OVGW	Hstech 5500mbecw230630
OVQ	Phillip Sing Income Etf
OVVW	Jd 5xshortub250430
OXMU	Prime Us Reitusd
OYY	Propnex Limited
P11	Pacific Andes Resources Devltd
P15	Pacific Century Regional Devts
P34	Petra Foods Limited
P36	Pan Hong Property Group Ltd
P40U	Starhill Global Reit
P52	Pan-united Corporation Ltd
P5P	Cimb S&p Asia Pacific Dividend
P74	China Kangda Food Company Ltd
P7VU	Hutchison Port Hldgs Trust S$
P8A	Cordlife Group Limited
P8Z	Bumitama Agri Ltd.
P9D	Civmec Limited
PA3	Ta Corporation Ltd
PBSW	Vibropower W250116^
PGEW	Pegasus Spac W291231
PGS	Pegasus Spac
PH0	Hatten Land
PH1S	Na12100n 420202
PHHW	Alibaba 5xlongub250930
PISW	Cosco 5xshortub250430
PKMW	Geely Mb Epw230802
PMBW	Hstech 4500mbecw230630
PNQW	Pingan Mb Ecw231004
PRH	Citicode Ltd
PU6D	Hsbc Adr 10
Q01	Qaf Ltd
Q0F	Ihh Healthcare Berhad
Q0X	Ultro Technologies Limited
Q5T	Far East Hospitality Trust
QAHW	Thaibev 5xlongsg231115
QAIW	Cmob 5xshortub250228
QC7	Q & M Dental Group (s) Limited
QDAW	Sembind Mbecw231207
QDCW	S&p 4000mbepw230616
QES	Chinasunsine
QFYW	Byd 5xlongub241231
QGGW	Hsi 7xshortub250228
QGWW	Dbs Mb Epw231005
QJDW	Wuxibio 5xshortub250321
QK9	Is Msci India 100 S$
QL2	Ishares Usd Asia Bond Etf S$
QL3	Ishares Usd Asia Hy Bond Etfs$
QNHW	First Sponsor W240530
QNLW	Ocbc Bk Mb Ecw231124
QNS	Southernalliance
QPCW	Aia 5xlongub250430
QPPW	Nio Mbecw230920
QR9	Cimb S&p Asia Pac Dividend S$
QS0	Cimb Ft Asean 40 100 S$
QS9	Radiance Group Limited
QSD	Resources Gbl
QTTW	Anta 5xlongub250430
QXPW	Hsi 5xshortub250430
QZG	Accrelist Ltd
R14	Ramba Energy Limited
R1MS	Nx13100h 230701
R1NS	Nz13100v 330901
RAYW	First Sponsor W290321
RC5	Triyards Holdings Limited
RCTW	Djia 37000mbecw231215
RCU	Revez
RDR	Incredible
RE4	Geo Energy Resources Limited
REVW	Capinv 5xshortsg231115
RF1U	Religare Health Trust
RGMW	Sunny 5xshortub250127
RIVW	Dbs Mb Ecw231017
RMRB	Astrea Iv S$242m4.35%b280614
RMTW	Uob Mb Epw230724
RNXW	Sunny 5xlongub250430
RQ1	Overseas Education Limited
RRBW	Nasdaq 16000mbecw230616
RRQW	Byd 5xshortub251031
RS1	China Environmental Res Gp Ltd
RXS	Pacificradiance
RXWW	Ocbc Bk Mb Ecw230615
RYQW	Lenovo 5xlongub250430
S07	Shangri-la Asia Limited
S08	Singapore Post Limited
S19	Singapore Shipping Corp Ltd
S20	Straits Trading Co. Ltd
S23	Singapura Finance Ltd
S27	Spdr S&p 500 Etf Trust
S29	Stamford Tyres Corporationltd
S2D	Tosei Corporation
S35	Sing Investments & Finance Ltd
S3N	Okh Global Ltd.
S41	Hong Leong Finance Limited
S44	Engro Corporation Limited
S45U	Singapore Index Fund
S51	Sembcorp Marine Ltd
S56	Samudera Shipping Line Ltd
S58	Sats Ltd.
S59	Sia Engineering Co Ltd
S61	Sbs Transit Ltd
S63	Singapore Tech Engineering Ltd
S68	Singapore Exchange Limited
S69	Serial System Ltd
S71	Sunright Ltd
S7OU	Asian Pay Television Trust
S7P	Soilbuild Construction Grp Ltd
S85	Straco Corporation Limited
S9B	Tee Land Limited
SCY	Csop Star&chinext50 S$
SEJ	Noontalk Media
SES	Cph Ltd.
SGSW	S&p 4500mbecw231215
SHWW	Hstech 5xlongub250430
SJY	Megroup Ltd.
SK3	Krisenergy Ltd.
SK6U	Sph Reit
SMIW	Wuxibio 5xshortub250430
SNEW	Cnooc 5xlongub250228
SNSW	Cmb 5xlongub251031
SO7	Yangzijiang Shipbldg Hldgs Rmb
SQ1B	Sia S$750m 3.03% B 240328
SRT	Csop Iedge Sreit Etf S$
SRU	Csop Iedge Sreit Etf Us$
SSKW	Tencent 5xlongub250930
SSS	Phil Short Simsci-1x S$
SSU	Phil Short Simsci-1x Us$
STC	Comba
STG	Sri Trang Gloves
SWMW	Uob Mb Epw231120
SYBW	Galaxy 5xlongub250430
SYYW	Soilbuild Constw240729
T09	Tt International Limited
T12	Tat Seng Packaging Group Ltd
T13	Rh Petrogas Limited
T14	Tianjin Zhong Xin Pharm Group
T15	Tan Chong Int'l Ltd
T24	Tuan Sing Holdings Limited
T41	Telechoice International Ltd
T43	Techcomp (holdings) Limited
T4B	Sino Grandness Food Ind Gp Ltd
T55	Transpac Industrial Hldgs Ltd
T6I	Valuemax Group Limited
T82U	Suntec Real Estate Inv Trust
T8FS	Ny14100e 290701
TATD	Aot Th Sdr
TCCW	Hsi 5xlongub250430
TCHW	Sunny 5xlongub250321
TCPD	Cp All Th Sdr
TCU	Creditbureauasia
TEHW	Djia 34000mbepw230616
TEKB	Temasek S$500m 2.7% B 231025
TEMB	Temasek 1.8% 261124xb#
THLW	Comfort 5xshortsg231115
TID	Xt Mschina S$
TIRW	Nky 24000mbepw231208
TLBW	Gentingsmbecw230724
TMTW	Dbs Mb Epw230724
TPED	Pttep Th Sdr
TQ5	Frasers Centrepoint Limited
TS0U	Oue Commercial Reit
TSGW	Tencent 5xlongub241231
TTTW	Hstech3xlongma260327us$
TVV	Artivision
TWL	Memiontec Hldgs
TYTW	Tencent 5xshortub241231
U06	United Industrial Corp Ltd
U09	Upp Holdings Limited
U10	Uob-kay Hian Holdings Limited
U11	United Overseas Bank Ltd
U13	United Overseas Insurance Ltd
U14	Uol Group Limited
U77	Sarin Technologies Ltd
U96	Sembcorp Industries Ltd
U9E	Hankore Environment Tec Grpltd
UBCW	Comfortdel Mbecw231215
UD1U	Ireit Global
UD2	Japfa Ltd.
UFSW	Netease 5xshortub250228
UGNW	Clife 5xshortub250321
ULQW	Hsi 17000mbepw230630
UMDW	Wilmar Mb Ecw230628
UORW	Meituan 5xshortub250228
UPRW	Hkex 5xshortub250228
UQQW	Alibaba Mb Ecw231004
URR	Sim Leisure Group Ltd.
UUK	Pasture Holdings
UUTW	Jd Mb Ecw231004
UV1	Hisaka Holdings Ltd.
V03	Venture Corporation Limited
V2IW	Byd Mb Ecw231004
V2Y	Synagie Corporation Ltd.
V3M	Metech International Ltd
V7AB	Astrea7a1 4.125%320527#
V7BB	Astrea7b 6%320527#
V8Y	Quantum Health
V9WW	Hsi 18000mbepw230728
VA2W	Sands 5xshortub250930
VAIW	Annaik W241009
VBQW	Uob Mb Ecw230724
VC2	Olam Group
VFP	China Medical (intl) Gp Ltd
VI2	Tc Auto
VJAW	Sembind Mbecw231215
VJLW	Byd 5xshortub241231
VMGW	Jd Mb Epw231004
VMPW	Alibaba Mb Ecw231102
VO4W	Dbs Mb Ecw230615
VOVW	Kepcorpmbecw230724
VOWW	Nio Mbecw230621
VPBW	Yangzijimbecw230928
VPDW	Dbs Mb Ecw231010
VPRW	Nky 23000mbepw230609
VT1	Vertex Spac
VT2W	Vertex Spac W291231
VT6W	Hstech 5xlongub251031
VVL	Alphadx
VWFW	Gentingsmbecw231215
VZLW	Sea Ads Mbecw231229
W05	Wing Tai Hldgs Ltd
W1XW	Incredible W240204
W5UB	Rafflesed 6%cb270923
W7MW	Nasdaq 8800mbepw230616
W8PW	Hkex 5xshortub250127
WA9W	Alibaba 5xlongub241231
WBQW	Hsi 7xlongub251031
WCQW	Ccb 5xshortub250430
WDTW	Hsi 21800mbecw230530
WFUW	Comfortdel Mbecw231220
WG2W	Asl M W240723
WI4W	Lining 5xlongub251031
WJGW	Alibaba Mb Ecw230802
WJP	Vicom Ltd
WNDW	Dbs Mb Ecw231005
WNLW	Pingan 5xshortub250228
WNQW	Hkex Mb Ecw231004
WPBW	Cosco 5xlongub250430
WPC	Vallianz Holdings Ltd
WQ0R	Sinocloud Grp R
WQLW	Hkex Mb Epw231004
WRNW	Hstech 5xshortub251031
WTEW	S&p 3500mbepw230616
WTNW	Hscei 7xshortub250430
WVJ	Ntegrator
WW2W	Djia 40000mbecw230616
WXGW	Cosco 5xshortub251127
WZ2W	Beverly Jcg W240531
X1KW	Yzj 5xlongsg231115
X2PW	Dbs Mb Epw231010
X2YW	Hsi 22000mbecw230728
X5HW	Pingan 5xlongub250228
X7XW	Nio Mbecw231122
X8AW	Cmb 5xshortub250430
X8YW	Byd Mb Epw231004
X9LW	Meituan Mb Ecw231004
XBFW	Alibaba 5xlongub250430
XBJW	Lenovo 5xshortub250430
XCF	Ktmg Limited
XEPW	S&p 4200mbecw230616
XJB	Ghy Culture
XKJW	Hsbc 5xlongub250228
XR6W	Tencent 5xshortub250321
XS1W	Alibaba Mb Epw230802
XVG	$ Aedge Group
XWA	Aem Usd
XWEW	Hscei 7xlongub251031
XXSW	Hsi 18400mbepw230630
XZL	Ara Us Hospitality Trust
Y03	Yeo Hiap Seng Ltd
Y06	Youcan Foods International Ltd
Y35	Sun East Group Limited
Y3D	Mdr Limited
Y45	Singapore Windsor Holdings Ltd
Y6OB	Gsh Cb5.2%241012#
Y6QW	Hstech 5000mbecw230928
Y8E	Samurai 2k
Y92	Thai Beverage Public Co Ltd
Y9XW	Nky 27000mbecw230609
YCPW	Hsbc 5xshortub250228
YF8	Yzj Fin Hldg
YIYW	Jd Mb Ecw231102
YK9	Ykgi
YKDW	Hsi 20200mbecw230530
YMAW	Kuaisho 5xshortub251127
YQ7B	Sia 2021 Mcbz300608#
YT4W	Tencent 5xlongub250430
YW3W	Nky 26000mbepw230609
YWFW	Geely Mb Ecw231004
YYB	Arion Entertainment Spore Ltd
YYN	Platocapital
YYR	Lion-ospl China L Cny
YYY	Lion-ospl China L S$
Z0SW	Geely Mb Ecw231204
Z25	Yanlord Land Group Limited
Z2PW	Nasdaq 13000mbecw230616
Z3LW	Hsi 20200mbecw230728
Z4D	Medilifestyle
Z59	Yoma Strategic Holdings Ltd
Z5MW	Cmob 5xlongub251031
Z74	Singtel
Z77	Singtel 10
Z8PW	Uob Mb Epw231117
ZCLW	Pingan 5xlongub251031
ZFGS	Na21200w 511001
ZG3W	Xiaomi Mbecw230704
ZGNW	Pingan Mb Epw230802
ZHD	Nikkoam-icbcsg Cnb Us$
ZHS	Nikkoam-icbcsg Cnb S$
ZHY	Nikkoam-icbcsg Cnb Cny
ZKX	Ever Glory
ZL8S	Na20100f 500301
ZMKW	Yangzijimbecw230628
ZSEW	Meituan Mb Ecw231204
ZU5W	S&p 3850mbepw231215
ZWAW	Alibaba 5xshortub251127
ZXY	Alpina Holdings
