Symbol	Description
5TP	Cnmc Goldmine Holdings Limited
5TT	Keong Hong Holdings Limited
5TY	Advanced Systems Automation
5UA	Starland Holdings Limited
5UF	Maxi-cash Fin Svcs Corp Ltd
5UL	Atlantic Navigation Hldg(s)ltd
5UN	Sincap Group Limited
5UO	Sysma Holdings Limited
5UX	Oxley Holdings Limited
5VC	Kori Holdings Limited
5VI	Logistics Holdings Limited
5VJ	Halcyon Agri Corporation Ltd
5VP	Gds Global Limited
5VS	Hafary Holdings Limited
5WA	Intl Healthway Corp Limited
5WF	Isoteam Ltd.
5WG	Singapore Kitchen Equipmentltd
5WH	Rex International Holding Ltd
5WJ	Moneymax Financial Servicesltd
5WV	Asiaphos Limited
5YCW	Yzj 5xshortsg231115
600	Hyflux Ltd
6AZB	Astrea Vi3%b310318#
7QQS	Nz07100s 270301
8A1	Forise Int
8AZ	Aztech Gbl
8B5W	Hsi 20400mbecw230630
8H6W	Hsi 19800mbepw230530
8K7	Ughealthcare
8R9W	Dbs Mb Ecw240701
8U7U	Ireit Global Eur
8Y2W	Jd 5xlongub250127
8YIW	Sunny 5xshortub250430
8YLS	Nz19100s 390701
8YY	Biolidics Limited
92FW	Clife 5xlongub250430
92NW	Nasdaq 7xshortub250922
966W	Nky 31500mbecw231208
96DW	Datapulse Tech W271128
97WW	Hsi 21200mbecw230728
98CW	Uob Mb Ecw231110
9BOW	Simsci 380mbecw231229
9BRW	Tencentmbepw230802
9CI	Capitalandinvest
9CPW	Sea Ads Mbecw230531
9GBW	Xiaomi 5xlongub250930
9H9W	Dbs Mb Epw230530
9HNW	Cnooc 5xshortub250228
9J2W	Petroch 5xlongub250430
9L1W	Tencentmbecw230802
9NDW	Tencent 5xshortub250127
9PPW	Petroch 5xshortub250430
9QEW	Tencent 5xshortub250228
9RAW	Sands Mb Epw231004
9TFW	Singtelmbecw230724
9TRW	Hsi 17400mbepw230530
9UIW	Hsi 20800mbecw230830
9VBW	Meituan Mb Epw231004
9VNW	Hsi 21400mbecw230630
9W2W	Cosco 5xlongub251031
9WSW	Uob Mb Ecw230615
9ZIW	Nasdaq 7xlongub250922
A04	Asl Marine Holdings Ltd
A05	Avjennings Limited
A17U	Ascendas Real Estate Inv Trust
A26	Sinarmas Land Limited
A30	Aspial Corporation Limited
A31	Addvalue Technologies Ltd
A33	Blumont Group Ltd.
A34	Amara Holdings Ltd
A35	Abf Spore Bond Index Fund Etf
A50	Rowsley Ltd.
A52	Annaik Limited
A55	Asia Enterprises Holding Ltd
A78	Liongold Corp Ltd
A7RU	Cityspring Infrastruct Trust
AAJ	Sunmoon Food Company Limited
ACV	Frasers Hospitality Trust
ADN	First Sponsor Group Limited
AFC	Yuuzoo Corporation
AFUS	Nx15100z 250601
AGS	The Hour Glass Limited
AIY	Ifast Corporation Ltd.
AJ2	Ouhua Energy Holdings Limited
AJBU	Keppel Dc Reit
AOF	Amplefield Limited
AP4	Riverstone Holdings Limited
AU8U	Capitaretail China Trust
AUE	United Fiber System Limited
AVM	Boustead Projects Limited
AVX	Hl Global Enterprises Limited
AW9U	First Real Estate Inv Trust
